gid;nimi;gid_geometria_tyyppi
66;3 m kaava-alueen rajan ulkopuolella oleva viiva;2
67;Alueelle on rakennettava melueste;2
68;Katualueen rajan osa, jonka kohdalta ei saa järjestää ajoneuvoliittymää;2
71;Merkintä osoittaa rakennuksen sivun, jolla tulee olla suora uloskäynti porrashuoneista;2
72;Merkintä osoittaa rakennusalan sivun, jonka puoleisten rakennuksen ulkoseinien sekä ikkunoiden ja muiden rakenteiden ääneneristävyyden liikennemelua vastaan on oltava vähintään 00 dBA;2
73;Merkintä osoittaa, rakennusalan sivun, jonka puoleiseen rakennuksen seinään ei saa sijoittaa ikkunoita;2
74;Nuoli osoittaa rakennusalan sivun, johon rakennus on rakennettava kiinni;2
78;Poikkiviiva osoittaa rajan sen puolen, johon merkintä kohdistuu;2
79;Rakennuksen harjansuuntaa osoittava viiva;2
80;Risti merkinnän päällä osoittaa merkinnän poistamista;2
82;Säilytettävä/istutettava puurivi;2
83;Ulkoilureitti;2
109;Suojeltava puu;3
