ID;nimike;koodi;paaluokka
102;Asumista palveleva yhteiskäyttöinen korttelialue;AH;Asuinrakennusten korttelialueet
104;Asuinkerrostalojen korttelialue;AK;Asuinrakennusten korttelialueet
21;Asuinrakennusten korttelialue;AK;Asuinrakennusten korttelialueet
143;Asuin-, liike- ja toimistorakennusten korttelialue;AL;Asuinrakennusten korttelialueet
105;Maatilojen talouskeskusten korttelialue;AM;Asuinrakennusten korttelialueet
84;Erillispientalojen korttelialue;AO;Asuinrakennusten korttelialueet
187;Asuinpientalojen korttelialue;AP;Asuinrakennusten korttelialueet
159;Rivitalojen ja muiden kytkettyjen asuinrakennusten korttelialue;AR;Asuinrakennusten korttelialueet
96;Keskustatoimintojen korttelialue;C;Keskustatoimintojen korttelialue
11;Erityisalue;E;Erityisalueet
64;Ampumarata-alue;EA;Erityisalueet
183;Hautausmaa-alue;EH;Erityisalueet
13;Jätteenkäsittelyalue;EJ;Erityisalueet
158;Kaivosalue;EK;Erityisalueet
4;Mastoalue;EMT;Erityisalueet
49;Energiahuollon alue;EN;Erityisalueet
185;Maa-ainesten ottoalue;EO;Erityisalueet
52;Puolustusvoimien alue;EP;Erityisalueet
58;Yhdyskuntateknistä huoltoa palvelevien rakennusten ja laitosten alue;ET;Erityisalueet
70;Suojaviheralue;EV;Erityisalueet
115;Liike- ja toimistorakennusten korttelialue;K;Liike- ja toimistorakennusten korttelialueet
92;Liikerakennusten korttelialue;KL;Liike- ja toimistorakennusten korttelialueet
51;Liikerakennusten korttelialue, jolle saa sijoittaa vähittäiskaupan suuryksikön;KM;Liike- ja toimistorakennusten korttelialueet
6;Toimistorakennusten korttelialue;KT;Liike- ja toimistorakennusten korttelialueet
163;Toimitilarakennusten korttelialue;KTY;Liike- ja toimistorakennusten korttelialueet
54;Liikennealue;L;Liikennealueet
57;Huoltoaseman korttelialue;LH;Liikennealueet
50;Henkilöliikenneterminaalin korttelialue;LHA;Liikennealueet
151;Kanava-alue;LK;Liikennealueet
168;Lentokenttäalue;LL;Liikennealueet
